name,11-24,11-25,11-26,11-27,11-28,11-29,11-30
Grammy,23607,23242,29245,23478,11781,10881,22218
Pokémon,252524,244997,221370,236052,243600,230779,206226
Senate,121141,58628,62208,73767,87362,153396,260413
Russia,319368,244422,223189,245435,250298,247518,254486
Ronaldo,810345,253896,164788,138438,399007,316197,249643
YET TO COME,59946,31338,27483,30194,41728,95180,184312
Batman,43523,32829,31533,36348,38658,37739,47910
Veterans Day,3646,2077,1424,1237,1197,1303,1280
Qatar,674875,653956,419614,433316,462841,603437,479781
DeSantis,24956,34622,77295,92880,52025,70358,73073
BTS WORLD CUP,24238,12315,13898,9762,9456,7112,5884
Ticketmaster,11330,16812,10510,6323,9818,10240,13258
Album of the Year,8839,7306,24438,19374,13321,13665,459039
Kevin Conroy,486,667,363,364,771,299,2317
Poland,32802,31942,139518,41147,29425,32947,275201
ポッキー,7988,9104,18445,8490,6378,5321,4970
Run BTS,42066,36519,25799,113457,56827,135835,75084
Argentina,332354,377607,1960301,565950,294236,218533,1197720
ARMY WORLD CUP,585,606,173,2023,2027,744,108
Messi,242114,249267,1719515,646831,647219,372346,975099
